m,shape,cond,delta,step,iters,residual,converged
12,geom,1000,0.1,0.5,29,5.397e-12,1
12,geom,1000,0.5,1.0,5,3.197e-13,1
12,geom,1000,0.5,0.5,33,8.368e-12,1
12,geom,1000,1.0,1.0,6,4.386e-12,1
12,geom,1000,1.0,0.5,35,8.330e-12,1
12,geom,1000,2.0,1.0,9,2.695e-12,1
12,geom,1000,2.0,0.5,37,8.109e-12,1
12,geom,100000,0.0,1.0,2,2.618e-12,1
12,geom,100000,0.0,0.5,3,6.223e-12,1
12,geom,100000,0.1,1.0,3,5.293e-12,1
12,geom,100000,0.1,0.5,30,7.053e-12,1
12,geom,100000,0.5,1.0,5,4.378e-12,1
12,geom,100000,0.5,0.5,34,7.146e-12,1
12,geom,100000,1.0,1.0,6,5.819e-12,1
12,geom,100000,1.0,0.5,35,9.137e-12,1
12,geom,100000,2.0,1.0,9,6.315e-12,1
12,geom,100000,2.0,0.5,37,9.732e-12,1
12,linear,10,0.0,1.0,1,1.618e-14,1
12,linear,10,0.0,0.5,1,1.618e-14,1
12,linear,10,0.1,1.0,3,1.807e-12,1
12,linear,10,0.1,0.5,29,5.360e-12,1
12,linear,10,0.5,1.0,5,3.191e-13,1
12,linear,10,0.5,0.5,33,8.368e-12,1
12,linear,10,1.0,1.0,6,4.391e-12,1
12,linear,10,1.0,0.5,35,8.319e-12,1
12,linear,10,2.0,1.0,9,2.698e-12,1
12,linear,10,2.0,0.5,37,8.156e-12,1
12,linear,1000,0.0,1.0,1,8.346e-13,1
12,linear,1000,0.0,0.5,1,8.346e-13,1
12,linear,1000,0.1,1.0,3,1.782e-12,1
12,linear,1000,0.1,0.5,29,5.409e-12,1
12,linear,1000,0.5,1.0,5,3.291e-13,1
12,linear,1000,0.5,0.5,33,8.459e-12,1
12,linear,1000,1.0,1.0,6,4.390e-12,1
12,linear,1000,1.0,0.5,35,8.404e-12,1
12,linear,1000,2.0,1.0,9,2.701e-12,1
12,linear,1000,2.0,0.5,37,8.132e-12,1
12,linear,100000,0.0,1.0,2,6.124e-12,1
12,linear,100000,0.0,0.5,4,5.973e-12,1
12,linear,100000,0.1,1.0,4,8.091e-12,1
12,linear,100000,0.1,0.5,29,5.382e-12,1
12,linear,100000,0.5,1.0,5,6.674e-12,1
12,linear,100000,0.5,0.5,34,7.709e-12,1
12,linear,100000,1.0,1.0,7,1.626e-12,1
12,linear,100000,1.0,0.5,35,9.652e-12,1
12,linear,100000,2.0,1.0,9,9.319e-12,1
12,linear,100000,2.0,0.5,37,8.818e-12,1
12,dominant,10,0.0,1.0,1,1.894e-14,1
12,dominant,10,0.0,0.5,1,1.894e-14,1
12,dominant,10,0.1,1.0,3,1.804e-12,1
12,dominant,10,0.1,0.5,29,5.369e-12,1
12,dominant,10,0.5,1.0,5,3.223e-13,1
12,dominant,10,0.5,0.5,33,8.362e-12,1
12,dominant,10,1.0,1.0,6,4.391e-12,1
12,dominant,10,1.0,0.5,35,8.317e-12,1
12,dominant,10,2.0,1.0,9,2.704e-12,1
12,dominant,10,2.0,0.5,37,8.156e-12,1
12,dominant,1000,0.0,1.0,1,9.310e-13,1
12,dominant,1000,0.0,0.5,1,9.310e-13,1
12,dominant,1000,0.1,1.0,3,1.827e-12,1
12,dominant,1000,0.1,0.5,29,5.398e-12,1
12,dominant,1000,0.5,1.0,5,3.429e-13,1
12,dominant,1000,0.5,0.5,33,8.375e-12,1
12,dominant,1000,1.0,1.0,6,4.380e-12,1
12,dominant,1000,1.0,0.5,35,8.363e-12,1
12,dominant,1000,2.0,1.0,9,2.702e-12,1
12,dominant,1000,2.0,0.5,37,8.132e-12,1
12,dominant,100000,0.0,1.0,2,6.613e-12,1
12,dominant,100000,0.0,0.5,5,6.125e-12,1
12,dominant,100000,0.1,1.0,3,3.696e-12,1
12,dominant,100000,0.1,0.5,30,8.634e-12,1
12,dominant,100000,0.5,1.0,5,3.875e-12,1
12,dominant,100000,0.5,0.5,34,4.109e-12,1
12,dominant,100000,1.0,1.0,6,6.454e-12,1
12,dominant,100000,1.0,0.5,37,7.047e-12,1
12,dominant,100000,2.0,1.0,9,5.792e-12,1
12,dominant,100000,2.0,0.5,38,6.117e-12,1
