method,head,rank,hours,frobenius2,qlike,bw2,gmv_realized_variance
locf,native,0,8760,178.6154836924738,71.02678556605801,0.3415578298374865,0.0186452297757916
ewma,native,0,8760,98.96255289143669,25.314034607477552,0.3406616020493495,0.0157900689776839
loghar_spd,native,0,8760,92.03814692730288,32.936287837865784,0.2253876922419997,0.0114694818951937
parent_rfm,var1,19,8760,103.79722086582312,34.817288514633624,0.2520157995194256,0.0149740329580382
rfd_piecewise6,var1,19,8760,101.21817941088167,30.19974752639404,0.246522097047727,0.0138219397059482
