metric,mean_reduction_percent,median_reduction_percent,mean_ci95_lower_percent,mean_ci95_upper_percent
frobenius2,2.484692204115291,-6.521681798543311,-2.340788596972208,7.310173005202795
qlike,13.262207326394314,-2.2370738693787473,-4.708960892660896,31.23337554544951
bw2,2.1799039910095463,-2.901978744310263,-2.17079947674453,6.530607458763656
gmv_realized_variance,7.693940939749345,0.07373184381044284,-9.092049453281689,24.47993133278036
