regime,regime_label,regime_class,n,completed,rfd_threshold_accuracy_percent,known_threshold_accuracy_percent,fixed_threshold_accuracy_percent,recorded_error_percent,nonconverged_stage_total,fallback_total,rfd_centre_path_rms_mean,rfd_centre_path_rms_median,rfd_centre_path_rms_q25,rfd_centre_path_rms_q75,rfd_loading_angle_degrees_mean,rfd_loading_angle_degrees_median,rfd_loading_angle_degrees_q25,rfd_loading_angle_degrees_q75,rfd_factor_nrmse_mean,rfd_factor_nrmse_median,rfd_factor_nrmse_q25,rfd_factor_nrmse_q75,rfd_observation_reconstruction_rms_mean,rfd_observation_reconstruction_rms_median,rfd_observation_reconstruction_rms_q25,rfd_observation_reconstruction_rms_q75,known_centre_loading_error_mean,known_centre_loading_error_median,known_centre_loading_error_q25,known_centre_loading_error_q75,fixed_centre_loading_error_mean,fixed_centre_loading_error_median,fixed_centre_loading_error_q25,fixed_centre_loading_error_q75,noise_lag_row_size_mean,noise_lag_row_size_median,noise_lag_row_size_q25,noise_lag_row_size_q75,rfd_fallback_rate_mean,rfd_fallback_rate_median,rfd_fallback_rate_q25,rfd_fallback_rate_q75
B0,smooth moving-centre reference,reference,512,32,100.0,96.875,78.125,0.0,0,0,0.35628329388886126,0.34966542845438264,0.32901825898184606,0.39268461760967166,4.933560482764191,4.439912066520301,3.7330453541505815,6.028739435231845,0.7467028652498973,0.7767092726176934,0.6662366741717833,0.8797591716049961,0.1663070617512487,0.1665131652283261,0.16411445343058473,0.1679108372574637,0.05680352100092558,0.05423609310846145,0.045544125903264246,0.06532167292444273,0.2877867274555726,0.2672052956445379,0.1702069114135019,0.35238248616942613,0.0017102451514327188,0.00169308968009705,0.00163707463038115,0.001770178289178425,0.0,0.0,0.0,0.0
B0,smooth moving-centre reference,reference,2048,32,100.0,100.0,56.25,0.0,0,0,0.18294934824969994,0.1880141659525436,0.16564118254662213,0.20333295437379026,1.8422031561409178,1.686765743854195,1.503902030797369,2.131608211168631,0.47786220088436315,0.47749766382588793,0.4426829225041657,0.5083934722735108,0.16335001490795023,0.16399954391986266,0.16072243404524406,0.165583589677603,0.027477776210648258,0.02490612916406865,0.02171222047263735,0.0319892627698843,0.26398129165815565,0.25736508403172975,0.18785719001977247,0.35658513993513785,0.0008586788010251187,0.0008395815786615001,0.0007981225605081001,0.0009154075182695751,0.0,0.0,0.0,0.0
B0,smooth moving-centre reference,reference,8192,32,100.0,100.0,34.375,0.0,0,0,0.09480480647012374,0.09118934779267071,0.0853884303834397,0.10943010674611217,0.8130117937159249,0.7747084380597921,0.571037655230028,1.0092826414973788,0.34638271520596553,0.34143098261455235,0.32571350615419664,0.3685603330754842,0.1623286747574732,0.16324700751304755,0.160317863150158,0.16439035499830035,0.013146848348316347,0.0118080576373473,0.00921186170042675,0.01531513777248035,0.3057285311673811,0.3068412992942756,0.2469581298458403,0.3787199919124019,0.0004384450275832188,0.00042948360958235,0.00040107072704865,0.000486648896464125,0.0,0.0,0.0,0.0
C0,fixed-centre placebo,,512,32,100.0,96.875,96.875,0.0,0,0,0.3562649305236525,0.3497949443647915,0.32941142350079244,0.39269911910447014,4.90394823657739,4.354247056126081,3.5911648611697857,5.909044164100617,0.7465751758214443,0.776232276998488,0.6656537987412562,0.8797516853629956,0.16628701233696705,0.1665302437694553,0.16417366836211816,0.16780267593745726,0.05680352100092556,0.0542360931084615,0.045544125903264225,0.06532167292444285,0.056810799982446494,0.0542276523679961,0.04540443246104113,0.06530450792466644,0.0017102451514327188,0.00169308968009705,0.00163707463038115,0.001770178289178425,0.0,0.0,0.0,0.0
C0,fixed-centre placebo,,2048,32,100.0,100.0,100.0,0.0,0,0,0.18293263009216798,0.1880870475961974,0.16556377841161957,0.20333270092116812,1.820403353192357,1.6885636586641106,1.5112025356399585,2.1240574046915772,0.4778899301091212,0.47791919619220735,0.4426637081307771,0.5084238287091151,0.16334548364005852,0.16399918477503594,0.16075004784713082,0.16558726229610018,0.027477776210648258,0.024906129164068702,0.021712220472637225,0.031989262769884126,0.027477983022369618,0.02490677730839035,0.021694055274820077,0.03199460836805907,0.0008586788010251219,0.0008395815786615001,0.000798122560508175,0.0009154075182695751,0.0,0.0,0.0,0.0
C0,fixed-centre placebo,,8192,32,100.0,100.0,100.0,0.0,0,0,0.09480218295041726,0.09120850766411084,0.0853788322987409,0.10941666222591792,0.8134778893276169,0.7707173951935554,0.5950135761861848,0.9911383805001116,0.3463771886839818,0.3414214399376472,0.32570842611409734,0.3685561165217478,0.16232815277109786,0.1632478082457951,0.1603192361838564,0.16439049409543274,0.013146848348316269,0.01180805763734725,0.0092118617004262,0.01531513777248,0.013148107406512177,0.0118071083482817,0.009217108587545025,0.015308501776539599,0.0004384450275832188,0.00042948360958235,0.00040107072704865,0.000486648896464125,0.0,0.0,0.0,0.0
C1,"moving centre, no factors",,512,32,100.0,100.0,0.0,0.0,0,0,0.06781364451431199,0.06777278117517145,0.06095341932963755,0.07464829974125889,,,,,,,,,0.20613980290304393,0.20640744518976134,0.20436072462204308,0.20770328294931883,,,,,,,,,0.0017102451514327188,0.00169308968009705,0.00163707463038115,0.001770178289178425,0.0,0.0,0.0,0.0
C1,"moving centre, no factors",,2048,32,100.0,100.0,0.0,0.0,0,0,0.0325103693004784,0.033266892835423,0.030108102003851077,0.034934210282518224,,,,,,,,,0.20122710511583516,0.2012004364406953,0.20103607963845066,0.2013849812329155,,,,,,,,,0.0008586788010251187,0.0008395815786615001,0.0007981225605081001,0.0009154075182695751,0.0,0.0,0.0,0.0
C1,"moving centre, no factors",,8192,32,100.0,100.0,0.0,0.0,0,0,0.016656699124404137,0.016522934246583097,0.016052164448969848,0.017309454720430325,,,,,,,,,0.20027774023253922,0.2002720839437604,0.20025210250472936,0.20033698175498282,,,,,,,,,0.0004384450275832188,0.00042948360958235,0.00040107072704865,0.000486648896464125,0.0,0.0,0.0,0.0
C2,factors without observation noise,positive_control,512,32,100.0,100.0,81.25,0.0,0,0,0.35192258121243325,0.3545121299256247,0.3170515960905088,0.38797368943595323,0.7232136963711333,0.7307634096194962,0.4893519576171328,0.9599641701691082,0.6876415717843938,0.7037949368363619,0.6078456963118217,0.8211686783144593,0.004130925296203479,0.0036885211208789997,0.00311963205369485,0.005467772492912725,9.914592650090572e-16,1.0122200482568486e-15,8.631708110655944e-16,1.1449665699179101e-15,0.2698925459586331,0.2445968621535332,0.18560879514430761,0.3432243679645599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
