matrix_size,replicates,centre_path_rms_median,centre_path_rms_q25,centre_path_rms_q75,centre_percent_of_path_median,centre_percent_of_path_q25,centre_percent_of_path_q75,loading_subspace_error_median,loading_subspace_error_q25,loading_subspace_error_q75,loading_angle_degrees_median,loading_angle_degrees_q25,loading_angle_degrees_q75,factor_score_nrmse_median,factor_score_nrmse_q25,factor_score_nrmse_q75,factor_nrmse_percent_median,factor_nrmse_percent_q25,factor_nrmse_percent_q75,observation_reconstruction_rms_median,observation_reconstruction_rms_q25,observation_reconstruction_rms_q75,signal_reconstruction_rms_median,signal_reconstruction_rms_q25,signal_reconstruction_rms_q75,assembly_gap_ratio_median,assembly_gap_ratio_q25,assembly_gap_ratio_q75,empirical_energy_R_median,empirical_energy_R_q25,empirical_energy_R_q75,operator_below_gap_percent,assembly_below_gap_percent,threshold_accuracy_percent
2,32,0.09369146690943295,0.08145626207107402,0.10642006089040545,17.845993697032796,15.515478489726604,20.270487788646328,0.01022572441393935,0.006285517892812649,0.0126662078251655,0.5859010640604112,0.3601360282695683,0.7257396575593168,0.44106258156022166,0.4186813400412617,0.45891868919325235,44.106258156022164,41.86813400412617,45.89186891932523,0.11330633955061756,0.10532839174052705,0.12100003991469604,0.1659697610712205,0.16091255230708568,0.17110827462385003,1.0603844873980028,0.6802681552412346,1.2240873325001735,1.4744544830494477,1.4229917064031663,1.555147107171162,46.875,43.75,100.0
3,32,0.09822302830388345,0.0859884456461693,0.10744221047473625,18.709148248368987,16.378751551660255,20.465182947580004,0.0114792157687466,0.009203414606951826,0.0157813756431395,0.6577250686599918,0.5273242586312598,0.9042439026609256,0.3527236875995976,0.3286350937410016,0.3666918450033799,35.27236875995976,32.86350937410016,36.66918450033799,0.16323504801922506,0.16096677917838853,0.1653016426681352,0.1180363883596125,0.1149874191517759,0.12102133670302598,0.7403368537500847,0.48571071913645647,1.1343009372413546,1.414699956782523,1.3825574460544388,1.504873263929307,68.75,68.75,100.0
4,32,0.0967740617329282,0.0834615201249487,0.10505891891798147,18.433154615801648,15.897432404757136,20.01122265105039,0.01582351427707555,0.0132841683410161,0.0187787877100785,0.9066584473204715,0.7611491707557805,1.0760085369731849,0.30350614714648344,0.2851855076803035,0.31590929213611374,30.350614714648344,28.518550768030348,31.590929213611375,0.1788368587356139,0.1773571504487881,0.17933183576995376,0.0929108543660849,0.09132675632242122,0.09515720195074275,0.8781643120799691,0.535569088953037,1.2929158328908794,1.3969791029130683,1.3513802984718413,1.4966680249457622,59.375,56.25,100.0
