scenario,RFD signal RMS,parent signal RMS,signal gain (%),loading gain (%),RFD score NRMSE,parent score NRMSE
parent home,0.035007222379007746,0.0346081398140929,-1.0328083172827185,2.5368786400399355,0.3850706698970803,0.2758142639561716
fixed control,0.035453895490528006,0.03505825238494155,-1.0209726485457704,-12.621989877783857,0.40068555023069635,0.2796558291368736
aligned,0.035358637331693046,0.0350389678037912,-0.9569264403319844,-11.765115114426163,0.38522376291915317,0.7322100620829893
mixed,0.0352808659284757,0.0613900902799147,42.50231920698745,96.28363955344182,0.39617913066569477,0.6860987967736246
orthogonal,0.0348736385120114,0.08252570364673215,57.78818303229775,98.29435057247602,0.3789957021776872,0.9302286640517532
curved,0.0351253554920729,0.079454595686267,55.77436863181561,97.8862293278301,0.38103913041731097,0.798872790169936
